,Posted.On,BHK,Size,Floor,Area.Type,Area.Locality,City,Furnishing.Status,Tenant.Preferred,Bathroom,Point.of.Contact,Rent,Abby,Adamgosmire,Addy,Akin_Mitu,Burkhalter,Daria,DeYoung,Lucas_Nick,Ternes,Trey,Will
1,4/30/2022,1,50,4 out of 5,Super Area,Amberpet,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,3.653212514,3.823095212,3.301029996,3.608908203,3.857847517,3.750927613,3.779103359,3.745073464,3.940868519,3.714856634,3.740605167,3.763154025
2,7/8/2022,1,500,2 out of 3,Carpet Area,"Hsr Layout Sector 3, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.176091259,3.97391191,3.875061263,3.880132175,3.892356126,3.901346846,3.912616842,3.93637368,3.851178359,3.962206086,3.926019485,3.914292503
3,7/6/2022,1,450,4 out of 7,Carpet Area,Charkop Sector 6,Mumbai,Semi-Furnished,Family,2,Contact Agent,4.342422681,4.330978154,4.369215857,4.478817379,4.546141476,4.455030017,4.511522151,4.522736899,4.533852844,4.546330946,4.504513857,4.477340952
4,5/12/2022,1,400,1 out of 2,Super Area,Meerpet,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,3.77815125,3.840304702,3.812913357,3.823131111,3.779161544,3.780869777,3.828682736,3.788558848,3.807419326,3.766211137,3.787658126,3.810719646
5,7/6/2022,2,1100,Ground out of 4,Super Area,Nandanam Extension,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.477121255,4.160532542,4.127104798,4.161385929,4.185665714,4.151572031,4.182536716,4.184813414,4.17933766,4.192055059,4.162917305,4.190054924
6,5/23/2022,1,400,3 out of 4,Super Area,Thammenahalli Apartmentge,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.77815125,3.887712758,3.84509804,3.869176325,3.871383019,3.88504872,3.89742569,3.901289475,3.834539197,3.905143991,3.902421348,3.903822168
7,6/27/2022,3,1500,1 out of 4,Carpet Area,Sarita Vihar Pocket C,Delhi,Unfurnished,Bachelors,2,Contact Agent,4.477121255,4.487855851,4.103803721,4.432639182,4.571115016,4.568851567,4.59719869,4.568445307,4.668921541,4.521365785,4.575117279,4.478996261
8,6/29/2022,3,10,1 out of 1,Carpet Area,"Ghatkesar, NH 2 2",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,4.176091259,4.202437606,4.230448921,3.686795703,4.336883753,4.190394965,4.122127866,4.195289178,4.341368897,4.202760803,4.198594574,4.239370084
9,6/12/2022,2,1190,3 out of 4,Carpet Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,4.255272505,4.249796297,4.120573931,4.195643629,4.20454151,4.229212516,4.199193301,4.231552695,4.2331722,4.268332055,4.242578078,4.266742532
10,7/8/2022,1,490,2 out of 4,Carpet Area,"Sion East, Sion",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4.477121255,4.49242492,4.29666519,4.457022506,4.554530719,4.567497542,4.520790288,4.579098746,4.58831929,4.609625151,4.558382323,4.575599467
11,6/20/2022,3,1500,Lower Basement out of 1,Carpet Area,Oragadam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4.301029996,4.332088197,4.181843588,4.115850135,4.325472923,4.276941366,4.309482935,4.284767909,4.311731451,4.27415059,4.249899358,4.208638781
12,5/19/2022,2,1180,Ground out of 5,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Family,2,Contact Owner,4.176091259,4.140168626,4.161368002,4.182900096,4.202444199,4.234805973,4.197333076,4.165114345,4.172026048,4.165003661,4.160731519,4.20374147
13,6/16/2022,3,937,28 out of 39,Carpet Area,"Sheth Beaumonte, Sion Koliwada",Mumbai,Unfurnished,Family,4,Contact Agent,5.146128036,4.654337777,5.271841607,4.910734266,4.944875583,4.791742758,4.951497706,4.970107525,4.97136876,4.998909564,4.975096778,4.657010023
14,5/23/2022,1,500,1 out of 4,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.875061263,3.99323422,3.954242509,3.882664913,3.892356126,3.901346846,3.912616842,3.911339495,3.954339022,3.915867426,3.909688203,3.877040377
15,7/9/2022,2,600,3 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Semi-Furnished,Bachelors,2,Contact Agent,4.322219295,4.136722626,3.991226076,4.27432708,4.326442274,4.359448626,4.337564309,4.381477425,4.156620442,4.403339796,4.370613271,4.378829193
16,6/23/2022,1,700,15 out of 32,Super Area,"Llyod Estate, Wadala",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,4.62324929,4.489682434,4.602059991,4.608372069,4.60908329,4.789896694,4.521504268,4.642244369,4.77477851,4.638296083,4.657857179,4.691520801
17,6/29/2022,2,1000,4 out of 10,Super Area,"Padur, Old Mahabalipuram Road",Chennai,Semi-Furnished,Family,2,Contact Owner,4.130333768,4.213236173,4.033423755,4.211904658,4.164692607,4.176369535,4.164251434,4.124862337,4.201770521,4.151664649,4.137095018,4.190835744
18,7/4/2022,2,1000,3 out of 7,Super Area,"holy complex ,Mira Road, Mumbai",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4.230448921,4.654820898,4.505149978,4.501948978,4.552115614,4.684508292,4.515082584,4.546770263,4.788932839,4.555834583,4.524000507,4.623213651
19,6/27/2022,3,1400,1 out of 3,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4.176091259,4.229689685,4.342422681,4.150066217,4.108919244,4.084908259,4.063375289,4.090495597,4.055565185,4.032773564,4.092558019,4.185129685
20,6/1/2022,1,428,7 out of 11,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4.51851394,4.39362501,4.376576957,4.499110401,4.541527393,4.488751398,4.506449855,4.541476499,4.52281882,4.503104335,4.546887009,4.547077248
21,6/14/2022,2,650,1 out of 2,Super Area,Tiruvottiyur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4,4.020336828,4.033423755,4.06987964,4.052939916,4.042090469,4.060026647,4.039188902,4.029572055,4.055844582,4.045025425,4.09232937
22,6/20/2022,2,850,1 out of 2,Carpet Area,Barasat,Kolkata,Unfurnished,Family,2,Contact Owner,3.929418926,4.025344412,4.103803721,4.105243284,3.972514904,4.002980437,3.971556273,3.930575112,4.167212783,3.926934339,3.94173194,4.133816371
23,5/10/2022,2,625,6 out of 10,Super Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.602059991,4.567809866,4.394451681,4.465047722,4.511813283,4.441446791,4.485236073,4.511641639,4.534657261,4.495527907,4.51297658,4.490493582
24,5/31/2022,2,320,1 out of 2,Carpet Area,"Baishnabghata Patuli, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.77815125,3.852307232,3.785329835,3.885088889,3.788148092,3.813451706,3.816938035,3.799723456,4.037435425,3.759723602,3.813879678,3.969939487
25,7/4/2022,5,1880,15 out of 31,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,5.544068044,4.609047104,5.552668216,5.161669809,5.370859816,5.379217982,5.66498671,5.495226537,5.470232807,5.513714462,5.508029382,4.947450791
26,7/6/2022,2,900,Ground out of 4,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent,4.505149978,4.334747723,4.198657087,4.386341623,4.473079988,4.45898418,4.463517217,4.488819022,4.398727159,4.500511924,4.46971433,4.389010255
